,car_brand,carprice,kms_driven,fuel_type,city,year_of_manufacture
134,Volkswagen,660000.0,58549.0,Diesel,Chennai,2017
135,Hyundai,687000.0,41055.0,Petrol,Delhi,2019
136,Renault,304000.0,53728.0,Petrol,Delhi,2018
137,Hyundai,529000.0,42141.0,Petrol,Bangalore,2017
138,Tata,416000.0,63130.0,Petrol,Delhi,2018
139,Maruti,301000.0,53912.0,Petrol,Chennai,2016
140,Tata,941000.0,20678.0,Diesel,Thane,2019
141,Tata,2375000.0,4259.0,Diesel,Bangalore,2022
142,Honda,490000.00000000006,48866.0,Petrol,Ahmedabad,2016
143,Renault,331000.0,32954.0,Petrol,Delhi,2018
144,Maruti,235000.0,37000.0,Petrol,Mumbai,2012
145,Mahindra,1390000.0,85000.0,Diesel,Ahmedabad,2018
146,Audi,2475000.0,36627.0,Diesel,Bangalore,2016
147,Volkswagen,925000.0,62690.0,Petrol,Bangalore,2018
148,Toyota,2150000.0,12039.0,Diesel,Ahmedabad,2020
149,Honda,1204000.0,26230.0,Petrol,Delhi,2020
150,Hyundai,557000.0,19156.0,Petrol,Pune,2020
151,Hyundai,579000.0,18350.0,Petrol,Kolkata,2020
152,Hyundai,554000.0,44053.0,Petrol,Pune,2018
153,Hyundai,340000.0,69000.0,Petrol,Ahmedabad,2014
155,BMW,4300000.0,40000.0,Diesel,Ahmedabad,2017
156,Tata,1895000.0,35438.0,Diesel,Thane,2020
157,BMW,1000000.0,65000.0,Petrol,Ahmedabad,2008
158,Maruti,885000.0,38500.0,Petrol,Ahmedabad,2020
159,Maruti,484000.0,20583.0,eco_fuel,Pune,2018
160,Skoda,715000.0,81325.0,Diesel,Kolkata,2016
161,Maruti,590000.0,35000.0,Petrol,Ahmedabad,2017
162,Maruti,484999.99999999994,25000.0,Petrol,Hyderabad,2015
163,Honda,462000.0,37993.0,Petrol,Delhi,2015
164,Land,3499000.0,21693.0,Diesel,Kolkata,2018
165,Hyundai,1025000.0,63194.0,Petrol,Thane,2018
166,Hyundai,180000.0,60000.0,Petrol,Thane,2009
167,Honda,1200000.0,70000.0,Petrol,Ambattur,2018
168,Tata,1600000.0,51000.0,Diesel,Ambattur,2018
169,Hyundai,830000.0000000001,22024.0,Petrol,Thane,2019
170,Skoda,2095000.0,35793.0,Diesel,Hyderabad,2017
171,Hyundai,1925000.0,75400.0,Diesel,Pune,2017
172,Maruti,475000.0,84996.0,Diesel,Hyderabad,2016
173,Maruti,459999.99999999994,74767.0,Petrol,Mumbai,2015
174,Honda,342000.0,63956.0,Petrol,Gurgaon,2013
175,Maruti,450000.0,48000.0,eco_fuel,Thane,2017
176,Renault,685000.0,48330.0,Diesel,Bangalore,2014
177,Maruti,210000.0,93150.0,Petrol,Kolkata,2014
178,BMW,4100000.0,69499.0,Diesel,Hyderabad,2016
179,Mahindra,545000.0,75000.0,Diesel,Noida,2016
180,Kia,3499000.0,13748.0,Diesel,Bangalore,2021
181,Maruti,1075000.0,30672.0,Petrol,Bangalore,2019
182,Jeep,1798999.9999999998,64683.0,Diesel,Bangalore,2019
183,Maruti,711000.0,69886.0,Petrol,Mumbai,2019
184,Audi,2150000.0,34000.0,Diesel,Kolkata,2014
185,Hyundai,1149000.0,62137.0,Petrol,Bangalore,2019
186,Maruti,524000.0,56800.0,Petrol,Delhi,2016
187,Hyundai,475000.0,42382.0,Petrol,Thane,2015
188,Maruti,390000.0,66794.0,Petrol,Kolkata,2018
189,Honda,1150000.0,19600.0,Petrol,Ahmedabad,2020
190,Mercedes-Benz,1900000.0,85489.0,Diesel,Hyderabad,2011
191,Renault,750000.0,19784.0,Petrol,Mumbai,2020
192,Honda,1285000.0,19238.0,Petrol,Mumbai,2020
193,Maruti,420000.0,78518.0,Petrol,Hyderabad,2013
194,Hyundai,855000.0000000001,54104.0,Petrol,Mumbai,2017
195,Renault,899000.0,55300.0,Diesel,Bangalore,2018
196,Renault,348000.0,40397.0,Petrol,Chennai,2018
197,Mahindra,811000.0,87527.0,Diesel,Mumbai,2015
198,Toyota,675000.0,63000.0,Petrol,Ahmedabad,2019
199,Maruti,567000.0,83647.0,Diesel,Pune,2016
200,Isuzu,2100000.0,75592.0,Diesel,Hyderabad,2018
201,Renault,475000.0,57660.0,Diesel,Mumbai,2012
202,Honda,685000.0,42277.0,Petrol,Noida,2018
203,Maruti,525000.0,2600.0,Petrol,Ahmedabad,2022
204,Volvo,2257000.0,51000.0,Diesel,Ahmedabad,2014
205,Hyundai,575000.0,19630.0,Petrol,Mumbai,2017
206,Honda,745000.0,42218.0,Petrol,Mumbai,2016
207,Toyota,708000.0,69553.0,Petrol,Chennai,2019
208,Maruti,338000.0,48448.0,Petrol,Delhi,2017
209,Tata,484000.0,60167.0,Petrol,Delhi,2019
210,Honda,395000.0,61000.0,Petrol,Noida,2012
211,Hyundai,434000.0,26282.0,Petrol,Pune,2015
212,Mercedes-Benz,6175000.0,19070.0,Diesel,Bangalore,2019
213,Audi,3200000.0,67262.0,Diesel,Chennai,2018
214,Maruti,872000.0000000001,5814.0,Petrol,Kolkata,2020
215,Skoda,650000.0,76810.0,Diesel,Kolkata,2017
216,Honda,495000.0,63587.0,Diesel,Mumbai,2015
217,Kia,1525000.0,28000.0,Petrol,Kolkata,2019
218,Honda,499000.0,42637.0,Diesel,Bangalore,2014
219,Maruti,432000.0,52775.0,Petrol,Pune,2017
220,Maruti,850000.0,21809.0,Petrol,Thane,2019
221,Volkswagen,725000.0,45689.0,Petrol,Mumbai,2016
222,Maruti,433000.0,34251.0,Petrol,Pune,2017
223,Maruti,720000.0,55000.0,eco_fuel,Thane,2016
224,Skoda,925000.0,95004.0,Diesel,Hyderabad,2018
225,Tata,1695000.0,20856.0,Diesel,Bangalore,2019
226,Maruti,875000.0,11800.0,Petrol,Chennai,2020
227,Maruti,509999.99999999994,32897.0,Petrol,Pune,2016
228,Mahindra,565000.0,47107.0,Diesel,Delhi,2016
229,Maruti,225000.0,76614.0,Petrol,Pune,2011
230,Audi,1998999.9999999998,32345.0,Diesel,Kolkata,2018
231,Jaguar,3775000.0,35491.0,Diesel,Bangalore,2018
232,Toyota,3250000.0,22562.0,Diesel,Hyderabad,2021
233,Maruti,745000.0,49908.0,Diesel,Mumbai,2018
234,MINI,4400000.0,2482.0,Petrol,Mumbai,2021
235,Jeep,2300000.0,9000.0,Diesel,Ambattur,2020
236,Volkswagen,465000.00000000006,27700.0,Petrol,Thane,2015
